id,title,views,date,url,content_type,game_name,content_name,topic,duration,start_stream,end_stream,,Last Update
1,Fuyu Biyori,1615,26-September-2022,https://www.youtube.com/watch?v=k9xAu7R-KyA,Cover,,,Cover,04:35,0,0,,DISCLAIMER: all of this is all based on twitter and youtube manual scraping
2,"Mendaki gunung, lewati~ 🎶",1731,26-September-2022,https://www.youtube.com/watch?v=XkUhPl_TMoM,Live,,,Debut,00:55:54,20:00,20:55,,
3,Ngobrol manis gratis💜💜,733,30-September-2022,https://www.youtube.com/watch?v=ov_duICe7xU,Live,,,Free Talk,02:17:52,21:00,23:17,,
4,Circle Empires Rivals - Mari Mencari Keributan,700,1-October-2022,https://www.youtube.com/watch?v=u0IxZBjtJmw,Live,Circle Empires Rivals,Circle Empires Rivals,Game,04:02:20,20:00,00:02,,
5,Belajar Mencitaiku🍄,851,02-October-2022,https://youtu.be/jq_-g2PVrkc,Live,,Study With Me,Free Talk,03:39:20,21:00,00:39,,
6,Berburu Sesuatu yang Tak Kasat Rasa,791,03-October-2022,https://www.youtube.com/watch?v=UnyG-FJp1OU,Live,Phasmophobia,Phasmophobia,Game,02:49:02,21:00,23:49,,
7,Pecahkan Saja Gelasnya Biar Pecah,555,04-October-2022,https://www.youtube.com/watch?v=r_PMuLo4mvE,Live,,,Free Talk,01:34:41,20:30,22:04,,
8,Seberapa Menakutkan Cerita Horror Viewers? Part. 1,681,06-October-2022,https://www.youtube.com/watch?v=di_X8vCQTiM,Live,,Jurnal Dira,Free Talk,03:13:43,21:00,00:13,,
9,Stardew Valley - Bertani bersama sama yuhu~,415,07-October-2022,https://www.youtube.com/watch?v=WOMxso-NZB8,Live,Stardew Valley,Guerilla,Game,02:19:50,23:15,01:34,,
10,Berkenalan dengan Halus🍄,775,09-October-2022,https://www.youtube.com/watch?v=MatnltGLBEk,Live,,Study With Me,Free Talk,04:08:16,20:00,00:08,,
11,Ngobrol pelan-pelan sebelum tidur,604,10-October-2022,https://www.youtube.com/watch?v=-7UBBT17w0M,Live,,Guerilla,Free Talk,02:11:00,22:15,00:26,,
12,Getting Over It - Calme~,445,12-October-2022,https://www.youtube.com/watch?v=sDsopnkX3Q0,Live,Getting Over It,Guerilla,Game,01:52:04,22:15,00:07,,
13,Seberapa Menakutkan Cerita Horror Viewers? Part. 2,473,13-October-2022,https://www.youtube.com/watch?v=24vL-jolk1w,Live,,Jurnal Dira,Free Talk,02:24:36,21:00,23:24,,
14,Persahabatan bagai~,574,14-October-2022,https://youtu.be/F-wk70VAN5Y,Live,The Mimic,The Mimic,Game,03:14:33,20:30,23:44,,
15,Belajar Mencitaiku Part. 2 (edisi gombalindira)🍄,610,16-October-2022,https://www.youtube.com/watch?v=A7pi7D5wd1U,Live,,Study With Me,Free Talk,02:17:22,20:30,22:47,,
16,Cerita Hari Ini,639,17-October-2022,https://www.youtube.com/watch?v=Dd2t1i_9aBc,Live,,Guerilla,Free Talk,02:51:52,21:30,00:21,,
17,Pemujaan untuk Pigeon Express~,559,18-October-2022,https://www.youtube.com/watch?v=aIWtjNrHX38,Live,Stardew Valley,Guerilla,Game,02:34:42,20:50,23:24,,
18,Menginterogasi Silvia dan Yuura,869,21-October-2022,https://www.youtube.com/watch?v=rbST2qCrqYg,Live,,,Free Talk,02:24:24,20:30,22:54,,
19,Bermain bersama Om Boxy jilid II,564,23-October-2022,https://www.youtube.com/watch?v=hapomMkAQL0,Live,Getting Over It,,Game,03:02:02,13:00,16:02,,
20,"Makan siang, yuk?",694,24-October-2022,https://www.youtube.com/watch?v=e0V4y9__mn8,Live,,,Free Talk,02:24:52,11:30,13:54,,
21,Mobile Legends,880,24-October-2022,https://www.youtube.com/watch?v=qlZXHr9sDXY,Live,Mobile Legends,Guerilla,Game,04:00:26,19:00,23:00,,
22,Are you scared?,459,25-October-2022,https://www.youtube.com/watch?v=8O1f6brqki8,Live,Phasmophobia,Phasmophobia,Game,02:23:42,21:00,23:23,,
23,Mobile Legends Part2,397,25-October-2022,https://www.youtube.com/watch?v=u-ceC5XX45E,Live,Mobile Legends,Guerilla,Game,02:11:56,00:00,02:11,,
24,untuk Beli Hero Mobile Legends (I'm not addicted!),685,28-October-2022,https://www.youtube.com/watch?v=_jXUquruPtQ,Live,Mobile Legends,Guerilla,Game,01:46:52,16:30,18:16,,
25,Cerita sambil membuat jadwal,672,29-October-2022,https://www.youtube.com/watch?v=RwjqA2SFaJU,Live,,Guerilla,Free Talk,02:25:34,22:30,00:55,,
26,Menguji Kekompakkan dengan Dinamo,433,30-October-2022,https://www.youtube.com/watch?v=jiqsllYePh8,Live,Stardew Valley,Stardew Valley,Game,02:34:12,20:00,22:34,,
27,Menyelamatkan dunia bersama komandan dan burung,663,01-November-2022,https://www.youtube.com/watch?v=X736NDMw-YY,Live,Mobile Legends,,Game,02:21:22,20:00,22:21,,
28,Bermain legenda selular dan berbincang santai~,434,01-November-2022,https://www.youtube.com/watch?v=CPZG7D0Zer0,Live,Mobile Legends,Guerilla,Game,03:09:24,23:30,02:39,,
